winner_account.address,asset.collection.name
0x01732178fe9411f1b46b526e5d52ed958ac0027e,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x0174e08b8dbc42a1ddc9f7032533c97089343e6f,['MyCryptoHeroes']
0x017f2f574d696301ebbffcfcb7d632e574af9686,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x0184e803dc402d0f18f17cc13f045caef499d8fc,['BlockchainCuties']
0x018edc98b3190dbb261e6ff3858c4ba59c71ba94,"['ETH TOWN', 'ETH TOWN', 'ETH TOWN', 'ETH TOWN', 'ETH TOWN', 'ETH TOWN', 'ETH TOWN', 'ETH TOWN', 'ETH TOWN']"
0x019ed608dd806b80193942f2a960e7ac8abb2ee3,"['Ethermon', 'Ethermon', 'MarbleCards', 'MarbleCards', 'MarbleCards', 'MarbleCards', 'MarbleCards', 'MarbleCards', 'MarbleCards', 'MarbleCards', 'MarbleCards', 'MarbleCards', 'MarbleCards', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x01b0236e1780dc4507f554c8af43d654f5f5bba6,['MyCryptoHeroes']
0x01cd15b791f40d6b12bcb555c8c95802949b997d,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x01ec946b3d4c8407521fdfc9d74677db10770eb3,['ETH TOWN']
0x01fee5ef5625d37e7904cf3797763085d2dd6359,['BlockchainCuties']
0x02024e19f782d20a71a87386595d4cce9f738857,"['MyCryptoHeroes', 'MyCryptoHeroes']"
0x0217972a23f6e03ff38125620192f29ccc2ba02c,"['ETH TOWN', 'ETH TOWN', 'ETH TOWN', 'ETH TOWN', 'ETH TOWN', 'ETH TOWN', 'ETH TOWN', 'ETH TOWN', 'ETH TOWN']"
0x022a13ee1ac7a161579841247f2ff0232c6706aa,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x0239769a1adf4def9f07da824b80b9c4fcb59593,"['Darkwinds', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x0240caa3d0d2b38fd0b7a944d7ee2f0bd9ecf4fc,['Mythereum']
0x02491958e699bac2c2f0863d955fef23248264c5,['BlockchainCuties']
0x024ce9fad31fc550f63432b348bf7f8dd087af97,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x02625c8be14ebc01876001eeba75b6c24e602aa8,['BlockchainCuties']
0x02632569d858370906ac6116b0ae25059fb34a82,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x0278afd108cd72d7569eab228b7cd8d1980b4ca1,['PandaEarth']
0x027ea671a175bc848516d9fbc2a436c8fcf4613c,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x029faf4a085fe082ffa88502ddddf87c16f9b537,['BlockchainCuties']
0x02a1ceaf028a238ef8afde6505c0ac1ff3af9962,['MyCryptoHeroes']
0x02a8755ef04923d9238a62e4f77ff0a36802c176,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x02b36a6fc6830906bb87b65b93cfe385b26a30cd,['Ether Kingdoms']
0x02d325606255c4669503f8659ac93fbe91ebf9ab,"['Chibi Fighters 1.0', 'Chibi Fighters 1.0', 'Chibi Fighters 1.0', 'Chibi Fighters 1.0', 'Chibi Fighters 1.0', 'Chibi Fighters 1.0']"
0x02d701b745b8bb10462076d7ddb7f7fe8b9d19d6,['MyCryptoHeroes']
0x02df438b449331540895bc6bb25896582004dc28,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x02f7d4a989dc50aae5ee89f3e435199bdf4695d6,"['Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon', 'Ethermon']"
0x02f8857f11e078f6aa68c82537f5c6247e16448b,"['CryptoAssault', 'CryptoAssault']"
0x031571d4bd2faa8687b98f5552cc511e0a571283,['MyCryptoHeroes']
0x0327c5870628635655ae0e18ff5150671a035a54,['BlockchainCuties']
0x034050b47317151823cf755fce655c6ab3524fc2,['Mythereum']
0x03419ab51cd5509cc58cbab2b6368fd87f09e1dd,"['MyCryptoHeroes', 'MyCryptoHeroes']"
0x034f3e9dc95e244ed292745f09b7e29a8c5bc9d3,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x035e8a0a57f24fd10d447c6ce44524513dd6e09c,"['Chibi Fighters 1.0', 'Chibi Fighters 1.0', 'Chibi Fighters 1.0', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x03658f7dddf4f4d0a43f4e97b64abdef23ac94ef,['MyCryptoHeroes']
0x037b22bd2ed3df1e5bb8fbf7faa2feac9dda22b0,['Ethermon']
0x0386e45bf3a73e73f29570978c7676f884997c0f,"['MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes', 'MyCryptoHeroes']"
0x039e574ceb2c58519586ad10e353f7cdd09df92a,"['Ethermon', 'Ethermon']"
0x03a1f76a666a9cf9240a17827f780ee9a62b6af6,"['Mythereum', 'Mythereum', 'Mythereum', 'Mythereum', 'Mythereum', 'Mythereum', 'Mythereum', 'Mythereum', 'Mythereum', 'Mythereum', 'Mythereum']"
